Название вакансии,Размер заработной платы,Название компании,Образование,Уровень английского,Опыт работы,Сертификация,Способ оформления,Методы управления,Регион,contains_project_keywords
Менеджер проектов,100000.0,Трансмашприбор,Высшее,Не требуется,От 1 года до 3 лет,Не указано,Полная занятость,Не указаны,Екатеринбург,True
Менеджер проектов,76000.0,Ovva,Не требуется,Не требуется,От 1 года до 3 лет,Не указано,Полная занятость,agile; scrum,Чебоксары,True
Менеджер проекта,180000.0,FinFort,Не требуется,Не требуется,От 3 до 6 лет,Не указано,Полная занятость,Не указаны,Москва,True
Менеджер IT-проектов,85000.0,LITEN,Не требуется,Не требуется,От 1 года до 3 лет,Не указано,Полная занятость,Не указаны,Москва,True
Менеджер проектов (Менеджер IT-проектов),100000.0,Веб-интегратор СПИЧКА,Не требуется,Не требуется,От 3 до 6 лет,Не указано,Полная занятость,Не указаны,Москва,True
Менеджер проекта (строительство),150000.0,Здрасте Бар,Высшее,Не требуется,От 1 года до 3 лет,Не указано,Полная занятость,Не указаны,Москва,True
Проект менеджер,100000.0,Ремонт РФ,Не требуется,Не требуется,Нет опыта,Не указано,Полная занятость,Не указаны,Казань,True
Project менеджер,150000.0,Коммуникационное агентство Pattern,Среднее,Не требуется,От 1 года до 3 лет,Не указано,Полная занятость,Не указаны,Москва,True
Проектный менеджер,100000.0,Агентство событийного маркетинга Creativ,Не требуется,Не требуется,От 1 года до 3 лет,Не указано,Полная занятость,Не указаны,Екатеринбург,True
DT Project Manager / Менеджер по внедрению бизнес-приложений Честный знак,260000.0,ARK,Не требуется,Требуется,Более 6 лет,Не указано,Полная занятость,agile; waterfall,Москва,True
Менеджер проектов,50000.0,АНО Фирон,Не требуется,Не требуется,Нет опыта,Не указано,Проектная работа,Не указаны,Ростов-на-Дону,True
Менеджер проектов (Менеджер IT-проектов),100000.0,Веб-интегратор СПИЧКА,Не требуется,Не требуется,От 3 до 6 лет,Не указано,Полная занятость,Не указаны,Екатеринбург,True
Менеджер проекта,100000.0,ЛЕДАЛЕН,Высшее,Не требуется,Нет опыта,Не указано,Полная занятость,Не указаны,Москва,True
Менеджер проектов (бизнес-ассистент),50000.0,Digispark (ИП Коломыцев Иван Дмитриевич),Не требуется,Не требуется,От 1 года до 3 лет,Не указано,Полная занятость,Не указаны,Москва,True
Проектный менеджер (Project Manager) в веб-студию,50000.0,I-ONE,Среднее,Не требуется,От 1 года до 3 лет,Не указано,Полная занятость,Не указаны,Санкт-Петербург,True
Менеджер проекта (аутсорсинг),150000.0,Секвойя Сервис,Среднее,Не требуется,От 1 года до 3 лет,Не указано,Полная занятость,Не указаны,Москва,True
Младший менеджер ИТ-проектов (Администратор проектов),60000.0,Axept,Высшее,Не требуется,От 1 года до 3 лет,Не указано,Полная занятость,Не указаны,Москва,True
Руководитель проектов,150000.0,Август,Не требуется,Не требуется,От 1 года до 3 лет,Не указано,Полная занятость,Не указаны,Самара,True
Руководитель проектов,150000.0,АЛФОРМ,Не требуется,Не требуется,От 1 года до 3 лет,Не указано,Полная занятость,Не указаны,Москва,True
Аккаунт-менеджер / Менеджер проектов (Account Manager / Project Manager),80000.0,ОСмысле,Не требуется,Не требуется,От 1 года до 3 лет,Не указано,Полная занятость,Не указаны,Екатеринбург,True
Менеджер по ведению проектов,85000.0,Молинари Рус,Высшее,Не требуется,От 1 года до 3 лет,Не указано,Полная занятость,Не указаны,Москва,True
Руководитель проектов в IT компанию (менеджер проекта / проджект менеджер / project manager / PM),30000.0,White Tiger Soft,Высшее,Не требуется,Нет опыта,Не указано,Полная занятость,Не указаны,Йошкар-Ола,True
Менеджер проекта / менеджер продукта,60000.0,ТОКВЕС,Среднее,Не требуется,Нет опыта,Не указано,Полная занятость,Не указаны,Екатеринбург,True
Менеджер проектов на производство,70000.0,Хард Декор,Не требуется,Не требуется,От 1 года до 3 лет,Не указано,Полная занятость,Не указаны,Москва,True
Менеджер проектов,60000.0,Лаборатория Интернет,Не требуется,Не требуется,От 1 года до 3 лет,Не указано,Полная занятость,Не указаны,Самара,True
Менеджер проекта,70000.0,Резонанс,Не требуется,Не требуется,От 1 года до 3 лет,Не указано,Полная занятость,Не указаны,Воронеж,True
Менеджер проектов,40000.0,Априори,Не требуется,Не требуется,Нет опыта,Не указано,Полная занятость,Не указаны,Калининград,True
Менеджер IT - проектов / Project Manager (web),70000.0,МассПроект,Не требуется,Не требуется,От 1 года до 3 лет,Не указано,Полная занятость,Не указаны,Ставрополь,True
Менеджер проектов/Project manager/Проектный менеджер в веб студию,45000.0,Пахомова Любовь Валерьевна,Не требуется,Не требуется,Нет опыта,Не указано,Полная занятость,Не указаны,Нижний Новгород,True
Менеджер проектов ( Project Manager ),130000.0,Балкон,Не требуется,Не требуется,От 3 до 6 лет,Не указано,Полная занятость,Не указаны,Москва,True
Менеджер IT-проектов (руководитель проектов),110000.0,SEOTLT,Не требуется,Не требуется,От 1 года до 3 лет,Не указано,Полная занятость,Не указаны,Тольятти,True
Проджект-менеджер (онлайн-школа),100000.0,Валюжинич Екатерина Олеговна,Не требуется,Не требуется,От 1 года до 3 лет,Не указано,Полная занятость,Не указаны,Москва,True
Руководитель проекта,140000.0,АртСтройДок,Высшее,Не требуется,От 1 года до 3 лет,Не указано,Полная занятость,Не указаны,Уфа,True
Менеджер по проектам,150000.0,Синтез Инжиниринг,Высшее,Требуется,От 1 года до 3 лет,Не указано,Полная занятость,Не указаны,Москва,True
