Vacancy,Salary,Company,Education,English,WorkExperience,Certification,OperatingMode,ManagementMethods,Region
Менеджер проектов (бизнес-ассистент),50000.0,Digispark (ИП Коломыцев Иван Дмитриевич),Не требуется,Не требуется,От 1 года до 3 лет,Не указано,Полная занятость,Не указаны,Москва
Проектный менеджер (Project Manager) в веб-студию,50000.0,I-ONE,Среднее,Не требуется,От 1 года до 3 лет,Не указано,Полная занятость,Не указаны,Санкт-Петербург
Менеджер проекта (аутсорсинг),150000.0,Секвойя Сервис,Среднее,Не требуется,От 1 года до 3 лет,Не указано,Полная занятость,Не указаны,Москва
Младший менеджер ИТ-проектов (Администратор проектов),60000.0,Axept,Высшее,Не требуется,От 1 года до 3 лет,Не указано,Полная занятость,Не указаны,Москва
Руководитель проектов,150000.0,Август,Не требуется,Не требуется,От 1 года до 3 лет,Не указано,Полная занятость,Не указаны,Самара
Руководитель проектов,150000.0,АЛФОРМ,Не требуется,Не требуется,От 1 года до 3 лет,Не указано,Полная занятость,Не указаны,Москва
Аккаунт-менеджер / Менеджер проектов (Account Manager / Project Manager),80000.0,ОСмысле,Не требуется,Не требуется,От 1 года до 3 лет,Не указано,Полная занятость,Не указаны,Екатеринбург
Менеджер по ведению проектов,85000.0,Молинари Рус,Высшее,Не требуется,От 1 года до 3 лет,Не указано,Полная занятость,Не указаны,Москва
Руководитель проектов в IT компанию (менеджер проекта / проджект менеджер / project manager / PM),30000.0,White Tiger Soft,Высшее,Не требуется,Нет опыта,Не указано,Полная занятость,Не указаны,Йошкар-Ола
Менеджер проекта / менеджер продукта,60000.0,ТОКВЕС,Среднее,Не требуется,Нет опыта,Не указано,Полная занятость,Не указаны,Екатеринбург
Менеджер проектов на производство,70000.0,Хард Декор,Не требуется,Не требуется,От 1 года до 3 лет,Не указано,Полная занятость,Не указаны,Москва
Менеджер проектов,60000.0,Лаборатория Интернет,Не требуется,Не требуется,От 1 года до 3 лет,Не указано,Полная занятость,Не указаны,Самара
Менеджер проекта,70000.0,Резонанс,Не требуется,Не требуется,От 1 года до 3 лет,Не указано,Полная занятость,Не указаны,Воронеж
Менеджер проектов,40000.0,Априори,Не требуется,Не требуется,Нет опыта,Не указано,Полная занятость,Не указаны,Калининград
Менеджер IT - проектов / Project Manager (web),70000.0,МассПроект,Не требуется,Не требуется,От 1 года до 3 лет,Не указано,Полная занятость,Не указаны,Ставрополь
Менеджер проектов/Project manager/Проектный менеджер в веб студию,45000.0,Пахомова Любовь Валерьевна,Не требуется,Не требуется,Нет опыта,Не указано,Полная занятость,Не указаны,Нижний Новгород
Менеджер проектов ( Project Manager ),130000.0,Балкон,Не требуется,Не требуется,От 3 до 6 лет,Не указано,Полная занятость,Не указаны,Москва
Менеджер IT-проектов (руководитель проектов),110000.0,SEOTLT,Не требуется,Не требуется,От 1 года до 3 лет,Не указано,Полная занятость,Не указаны,Тольятти
Проджект-менеджер (онлайн-школа),100000.0,Валюжинич Екатерина Олеговна,Не требуется,Не требуется,От 1 года до 3 лет,Не указано,Полная занятость,Не указаны,Москва
Руководитель проекта,140000.0,АртСтройДок,Высшее,Не требуется,От 1 года до 3 лет,Не указано,Полная занятость,Не указаны,Уфа
Менеджер по проектам,150000.0,Синтез Инжиниринг,Высшее,Требуется,От 1 года до 3 лет,Не указано,Полная занятость,Не указаны,Москва
Менеджер проекта,120000.0,СК СВОД-СТРОЙ,Высшее,Не требуется,От 1 года до 3 лет,Не указано,Полная занятость,Не указаны,Москва
Менеджер проекта,57000.0,ЦВМ Аркон,Высшее,Не требуется,От 1 года до 3 лет,Не указано,Полная занятость,Не указаны,Пенза
Менеджер проектов,45000.0,Максмедиа,Не требуется,Не требуется,Нет опыта,Не указано,Полная занятость,Не указаны,Краснодар
Проектный менеджер ВисмаСтрой,150000.0,СК КОТТЕДЖ-БЕРИ,Не требуется,Не требуется,От 1 года до 3 лет,Не указано,Полная занятость,Не указаны,Уфа
Менеджер проекта,65000.0,Ефремов Александр Игоревич,Не требуется,Не требуется,От 1 года до 3 лет,Не указано,Полная занятость,Не указаны,Москва
